,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
225,Harley-Davidson Inc.,HOG,0.028095,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,1903
226,Harris Corporation,HRS,0.074644,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22 00:00:00,
227,Hartford Financial Services Group Inc.,HIG,0.072744,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,
228,Hasbro Inc.,HAS,0.046349,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30 00:00:00,
229,HCA Healthcare Inc,HCA,0.160007,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27 00:00:00,
230,HCP Inc.,HCP,0.063751,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31 00:00:00,
231,Helmerich & Payne Inc.,HP,0.026431,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[7]",2010-03-01 00:00:00,
232,Henry Schein Inc.,HSIC,0.056002,Health Care,Health Care Distributors,"Melville, New York",2015-03-17 00:00:00,
233,Hershey Company,HSY,0.067964,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,1894
234,Hess Corporation,HES,0.058669,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31 00:00:00,
235,Hewlett Packard Enterprise Co.,HPE,0.093004,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015-11-02 00:00:00,
236,Hilton Worldwide Holdings Inc,HLT,0.097175,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19 00:00:00,
237,HollyFrontier Corporation,HFC,0.039458,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",2018-06-18 00:00:00,1947
238,Hologic Inc.,HOLX,0.05303,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30 00:00:00,
239,Home Depot Inc.,HD,0.931647,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31 00:00:00,
240,Honeywell International Inc.,HON,0.468603,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31 00:00:00,1906
241,Hormel Foods Corporation,HRL,0.053243,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04 00:00:00,
242,Host Hotels & Resorts Inc.,HST,0.059177,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20 00:00:00,
243,HP Inc.,HPQ,0.15085,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31 00:00:00,1939 (2015)
244,Humana Inc.,HUM,0.178181,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
245,Huntington Bancshares Incorporated,HBAN,0.062874,Financials,Regional Banks,"Columbus, Ohio",,1866
246,Huntington Ingalls Industries Inc.,HII,0.038873,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03 00:00:00,
247,IDEXX Laboratories Inc.,IDXX,0.075333,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05 00:00:00,
248,IHS Markit Ltd.,INFO,0.081624,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02 00:00:00,
249,Illinois Tool Works Inc.,ITW,0.18431,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28 00:00:00,
250,Illumina Inc.,ILMN,0.201677,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19 00:00:00,
251,Incyte Corporation,INCY,0.059015,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28 00:00:00,
252,Ingersoll-Rand Plc,IR,0.106944,Industrials,Industrial Machinery,"Dublin, Ireland",2010-11-17 00:00:00,
253,Intel Corporation,INTC,1.017814,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31 00:00:00,
254,Intercontinental Exchange Inc.,ICE,0.191247,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26 00:00:00,
255,International Business Machines Corporation,IBM,0.503924,Information Technology,IT Consulting & Other Services,"Armonk, New York",,1911
256,International Flavors & Fragrances Inc.,IFF,0.061951,Materials,Specialty Chemicals,"New York, New York",1976-03-31 00:00:00,
257,International Paper Company,IP,0.082879,Materials,Paper Packaging,"Memphis, Tennessee",,1898
258,Interpublic Group of Companies Inc.,IPG,0.039215,Communication Services,Advertising,"New York, New York",1992-10-01 00:00:00,
259,Intuit Inc.,INTU,0.245494,Information Technology,Internet Software & Services,"Mountain View, California",2000-12-05 00:00:00,
260,Intuitive Surgical Inc.,ISRG,0.264636,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02 00:00:00,
261,Invesco Ltd.,IVZ,0.032883,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21 00:00:00,
262,IPG Photonics Corporation,IPGP,0.020972,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07 00:00:00,
263,IQVIA Holdings Inc,IQV,0.089758,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",2017-08-29 00:00:00,
264,Iron Mountain Inc.,IRM,0.045617,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06 00:00:00,
265,J.B. Hunt Transport Services Inc.,JBHT,0.038777,Industrials,Trucking,"Lowell, Arkansas",2015-07-01 00:00:00,
266,J.M. Smucker Company,SJM,0.053167,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06 00:00:00,
267,Jack Henry & Associates Inc.,JKHY,0.044955,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13 00:00:00,
268,Jacobs Engineering Group Inc.,JEC,0.032723,Industrials,Construction & Engineering,"Pasadena, California",2007-10-26 00:00:00,
269,Jefferies Financial Group Inc.,JEF,0.02564,Financials,Multi-Sector Holdings,"New York, New York",2007-08-27 00:00:00,
270,Johnson & Johnson,JNJ,1.586382,Health Care,Health Care Equipment,"New Brunswick, New Jersey",1973-06-30 00:00:00,1886
271,Johnson Controls International plc,JCI,0.137277,Industrials,Building Products,"Cork, Ireland",2010-08-27 00:00:00,
272,JPMorgan Chase & Co.,JPM,1.548229,Financials,Diversified Banks,"New York, New York",1975-06-30 00:00:00,
273,Juniper Networks Inc.,JNPR,0.044441,Information Technology,Communications Equipment,"Sunnyvale, California",,1996
274,Kansas City Southern,KSU,0.048126,Industrials,Railroads,"Kansas City, Missouri",2013-05-24 00:00:00,
275,Kellogg Company,K,0.067962,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906
276,KeyCorp,KEY,0.07829,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01 00:00:00,
277,Keysight Technologies Inc,KEYS,0.057619,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06 00:00:00,2014
278,Kimberly-Clark Corporation,KMB,0.184963,Consumer Staples,Household Products,"Irving, Texas",,1872
279,Kimco Realty Corporation,KIM,0.030784,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04 00:00:00,
280,Kinder Morgan Inc Class P,KMI,0.149934,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25 00:00:00,
281,KLA-Tencor Corporation,KLAC,0.066208,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997)
282,Kohl's Corporation,KSS,0.05117,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,1962
283,Kraft Heinz Company,KHC,0.131959,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",2015-07-06 00:00:00,
284,Kroger Co.,KR,0.103173,Consumer Staples,Food Retail,"Cincinnati, Ohio",,1883
285,L Brands Inc.,LB,0.02767,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30 00:00:00,
286,L3 Technologies Inc,LLL,0.06336,Industrials,Aerospace & Defense,"New York, New York",,1997
287,Laboratory Corporation of America Holdings,LH,0.061221,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01 00:00:00,
288,Lam Research Corporation,LRCX,0.10153,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29 00:00:00,
289,Lamb Weston Holdings Inc.,LW,0.04602,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03 00:00:00,
290,Leggett & Platt Incorporated,LEG,0.023104,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883
291,Lennar Corporation Class A,LEN,0.060505,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04 00:00:00,
292,Lincoln National Corporation,LNC,0.055355,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30 00:00:00,
293,Linde plc,LIN,0.401506,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1992-07-01 00:00:00,
294,LKQ Corporation,LKQ,0.038892,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23 00:00:00,
295,Lockheed Martin Corporation,LMT,0.315251,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31 00:00:00,
296,Loews Corporation,L,0.059544,Financials,Multi-line Insurance,"New York, New York",,
297,Lowe's Companies Inc.,LOW,0.360583,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29 00:00:00,1904/1946/1959
