,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
365,PayPal Holdings Inc,PYPL,0.490864,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20 00:00:00,
366,Pentair plc,PNR,0.030377,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01 00:00:00,
367,People's United Financial Inc.,PBCT,0.026273,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13 00:00:00,
368,PepsiCo Inc.,PEP,0.698536,Consumer Staples,Soft Drinks,"Purchase, New York",,1898
369,PerkinElmer Inc.,PKI,0.041029,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31 00:00:00,
370,Perrigo Co. Plc,PRGO,0.026344,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19 00:00:00,
371,Pfizer Inc.,PFE,1.129789,Health Care,Pharmaceuticals,"New York, New York",,1849
372,PG&E Corporation,PCG,0.019739,Utilities,Multi-Utilities,"San Francisco, California",,1905
373,Philip Morris International Inc.,PM,0.499015,Consumer Staples,Tobacco,"New York, New York",2008-03-31 00:00:00,
374,Phillips 66,PSX,0.181939,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01 00:00:00,
375,Pinnacle West Capital Corporation,PNW,0.042093,Utilities,Multi-Utilities,"Phoenix, Arizona",,1985
376,Pioneer Natural Resources Company,PXD,0.111105,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24 00:00:00,
377,PNC Financial Services Group Inc.,PNC,0.25677,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30 00:00:00,
378,PPG Industries Inc.,PPG,0.113187,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,1883
379,PPL Corporation,PPL,0.096083,Utilities,Electric Utilities,"Allentown, Pennsylvania",,
380,Principal Financial Group Inc.,PFG,0.056925,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22 00:00:00,
381,Procter & Gamble Company,PG,1.047059,Consumer Staples,Personal Products,"Cincinnati, Ohio",,1837
382,Progressive Corporation,PGR,0.164634,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04 00:00:00,
383,Prologis Inc.,PLD,0.17997,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17 00:00:00,
384,Prudential Financial Inc.,PRU,0.169692,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22 00:00:00,
385,Public Service Enterprise Group Inc,PEG,0.117584,Utilities,Electric Utilities,"Newark, New Jersey",,
386,Public Storage,PSA,0.138093,Real Estate,Specialized REITs,"Glendale, California",2005-08-19 00:00:00,
387,PulteGroup Inc.,PHM,0.033352,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30 00:00:00,
388,PVH Corp.,PVH,0.036739,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15 00:00:00,
389,Qorvo Inc.,QRVO,0.034969,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11 00:00:00,
390,QUALCOMM Incorporated,QCOM,0.320262,Information Technology,Semiconductors,"San Diego, California",,1985
391,Quanta Services Inc.,PWR,0.021648,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01 00:00:00,
392,Quest Diagnostics Incorporated,DGX,0.051741,Health Care,Health Care Services,"Madison, New Jersey",2002-12-12 00:00:00,
